,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
15088,Montagny (FR),Geflügel,261447,2404,0.01
15198,Düdingen,Geflügel,116752,7825,0.07
16525,Saillon,Geflügel,113689,2541,0.02
14927,Beromünster,Geflügel,91581,6517,0.07
15876,Sins,Geflügel,78681,4302,0.05
14940,Ruswil,Geflügel,78396,6908,0.09
15200,Bösingen,Geflügel,77332,3412,0.04
14903,Malters,Geflügel,73199,7108,0.1
14932,Grosswangen,Geflügel,68642,3162,0.05
15939,Egnach,Geflügel,67670,4699,0.07
15167,Le Mouret,Geflügel,67065,3156,0.05
16005,Hauptwil-Gottshaus,Geflügel,66314,1920,0.03
15170,Treyvaux,Geflügel,64890,1449,0.02
15865,Boswil,Geflügel,64807,2808,0.04
15186,Kerzers,Geflügel,64527,4911,0.08
15097,Belmont-Broye,Geflügel,64228,5402,0.08
14784,Mühleberg,Geflügel,62965,2843,0.05
15207,St. Ursen,Geflügel,62214,1319,0.02
15586,Niederbüren,Geflügel,61618,1530,0.02
16193,Valbroye,Geflügel,60652,2962,0.05
15113,Siviriez,Geflügel,60639,2214,0.04
15020,Tuggen,Geflügel,59665,3239,0.05
15576,Kirchberg (SG),Geflügel,56652,8977,0.16
15179,Courtepin,Geflügel,54955,5398,0.1
15098,Estavayer,Geflügel,54314,9434,0.17
15083,Cugy (FR),Geflügel,54114,1690,0.03
15862,Beinwil (Freiamt),Geflügel,53178,1110,0.02
15514,Gossau (SG),Geflügel,52264,18055,0.35
15948,Amriswil,Geflügel,51873,13346,0.26
14607,Büren an der Aare,Geflügel,51327,3596,0.07
15130,Grandvillard,Geflügel,50822,812,0.02
14920,Hohenrain,Geflügel,50498,2531,0.05
14723,Sumiswald,Geflügel,49464,5021,0.1
16350,Cuarnens,Geflügel,48400,481,0.01
15979,Kemmental,Geflügel,47539,2465,0.05
15458,Schaffhausen,Geflügel,47443,36148,0.76
16016,Bürglen (TG),Geflügel,47355,3751,0.08
16225,Montilliez,Geflügel,47156,1694,0.04
15196,Alterswil,Geflügel,47086,2037,0.04
15966,Homburg,Geflügel,46705,1537,0.03
15510,Wittenbach,Geflügel,45688,9779,0.21
14791,Belp,Geflügel,45002,11534,0.26
16013,Amlikon-Bissegg,Geflügel,44371,1311,0.03
16287,Donneloye,Geflügel,44220,782,0.02
14731,Köniz,Geflügel,44132,40938,0.93
16736,Grandfontaine,Geflügel,43388,397,0.01
16017,Bussnang,Geflügel,42736,2268,0.05
15466,Ramsen,Geflügel,42616,1443,0.03
14603,Schüpfen,Geflügel,42373,3719,0.09
14743,Fraubrunnen,Geflügel,42244,4962,0.12
15095,Les Montets,Geflügel,42020,1423,0.03
15872,Mühlau,Geflügel,42016,1096,0.03
15502,Schlatt-Haslen,Geflügel,41894,1102,0.03
15450,Thayngen,Geflügel,41564,5422,0.13
15201,Heitenried,Geflügel,41224,1365,0.03
15208,Schmitten (FR),Geflügel,40619,4072,0.1
15574,Neckertal,Geflügel,39894,4014,0.1
16189,Payerne,Geflügel,37709,9486,0.25
16634,Val-de-Ruz,Geflügel,37588,16832,0.45
15453,Beringen,Geflügel,37568,4656,0.12
16229,Montanaire,Geflügel,37269,2494,0.07
16166,Vully-les-Lacs,Geflügel,37111,2943,0.08
15892,Zuzgen,Geflügel,36889,873,0.02
16178,Villars-le-Comte,Geflügel,36636,143,0.0
15867,Buttwil,Geflügel,36516,1210,0.03
15582,Flawil,Geflügel,36401,10505,0.29
15955,Gachnang,Geflügel,36349,4225,0.12
14600,Lyss,Geflügel,36198,14706,0.41
14968,Zell (LU),Geflügel,35718,2025,0.06
16695,Develier,Geflügel,34586,1408,0.04
15998,Sirnach,Geflügel,34122,7738,0.23
15099,Cheyres-Châbles,Geflügel,33708,2222,0.07
15189,Misery-Courtion,Geflügel,33605,1909,0.06
14786,Neuenegg,Geflügel,33177,5436,0.16
14929,Buttisholz,Geflügel,32826,3248,0.1
14780,Golaten,Geflügel,32761,309,0.01
15205,St. Antoni,Geflügel,32684,2044,0.06
14787,Wileroltigen,Geflügel,32500,372,0.01
14602,Rapperswil (BE),Geflügel,32439,2608,0.08
15825,Kaisten,Geflügel,32302,2582,0.08
