,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
7174,Haute-Ajoie,Pferde,598,941,1.57
7066,Val-de-Ruz,Pferde,390,16832,43.16
5436,Einsiedeln,Pferde,314,15361,48.92
5962,Diepoldsau,Pferde,300,6456,21.52
5222,Schwarzenburg,Pferde,282,6887,24.42
7138,Haute-Sorne,Pferde,276,6908,25.03
7151,Saignelégier,Pferde,275,2556,9.29
7149,Muriaux,Pferde,260,504,1.94
6456,Bellinzona,Pferde,252,42901,170.24
5204,Worb,Pferde,251,11473,45.71
7046,La Chaux-de-Fonds,Pferde,241,38965,161.68
4927,Uster,Pferde,240,34319,143.0
5143,Langnau im Emmental,Pferde,239,9241,38.67
5162,Kirchlindach,Pferde,236,3029,12.83
5163,Köniz,Pferde,235,40938,174.2
5673,Mümliswil-Ramiswil,Pferde,234,2456,10.5
7069,Val-de-Travers,Pferde,232,10950,47.2
5969,Oberriet (SG),Pferde,228,8811,38.64
5168,Wohlen bei Bern,Pferde,217,9136,42.1
6625,Valbroye,Pferde,215,2962,13.78
6006,Neckertal,Pferde,212,4014,18.93
4899,Hombrechtikon,Pferde,207,8620,41.64
7173,Clos du Doubs,Pferde,205,1321,6.44
5501,Cham,Pferde,202,16216,80.28
5976,Sennwald,Pferde,200,5455,27.28
4978,Tramelan,Pferde,198,4565,23.06
5359,Beromünster,Pferde,197,6517,33.08
6033,Poschiavo,Pferde,194,3534,18.22
5052,Ins,Pferde,194,3496,18.02
7086,Collex-Bossy,Pferde,194,1671,8.61
7148,Montfaucon,Pferde,191,629,3.29
7141,Le Bémont (JU),Pferde,185,314,1.7
5372,Ruswil,Pferde,185,6908,37.34
5632,Bösingen,Pferde,184,3412,18.54
6007,Wattwil,Pferde,184,8630,46.9
4994,Saicourt,Pferde,183,616,3.37
5685,Bättwil,Pferde,182,1195,6.57
6400,Mammern,Pferde,178,653,3.67
4966,Corgémont,Pferde,177,1669,9.43
4948,Elgg,Pferde,177,4323,24.42
5175,Fraubrunnen,Pferde,177,4962,28.03
6308,Sins,Pferde,177,4302,24.31
5500,Baar,Pferde,175,24129,137.88
5220,Guggisberg,Pferde,169,1586,9.38
6742,Lausanne,Pferde,169,137810,815.44
5404,Entlebuch,Pferde,167,3367,20.16
6213,Effingen,Pferde,167,603,3.61
7142,Les Bois,Pferde,166,1219,7.34
7015,Sion,Pferde,165,34353,208.2
5034,Rapperswil (BE),Pferde,164,2608,15.9
4878,Grüningen,Pferde,160,3401,21.26
6558,Mendrisio,Pferde,160,15110,94.44
4909,Fehraltorf,Pferde,159,6361,40.01
6657,Montilliez,Pferde,158,1694,10.72
6037,Scuol,Pferde,158,4638,29.35
6380,Amriswil,Pferde,155,13346,86.1
6017,Uzwil,Pferde,154,12816,83.22
5506,Risch,Pferde,151,10355,68.58
6643,Echallens,Pferde,151,5687,37.66
5197,Münsingen,Pferde,150,12396,82.64
5990,Benken (SG),Pferde,150,2916,19.44
