,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
12548,Ruswil,Schweine,33357,6908,0.21
12535,Beromünster,Schweine,23667,6517,0.28
12540,Grosswangen,Schweine,19828,3162,0.16
12577,Willisau,Schweine,14596,7777,0.53
12561,Ettiswil,Schweine,14181,2718,0.19
13123,Waldkirch,Schweine,13818,3509,0.25
12529,Inwil,Schweine,12580,2429,0.19
12567,Menznau,Schweine,12411,2897,0.23
12528,Hohenrain,Schweine,11947,2531,0.21
13184,Kirchberg (SG),Schweine,10985,8977,0.82
12537,Buttisholz,Schweine,10854,3248,0.3
12544,Neuenkirch,Schweine,10425,6957,0.67
13484,Sins,Schweine,10199,4302,0.42
12522,Ballwil,Schweine,10001,2794,0.28
13122,Gossau (SG),Schweine,9964,18055,1.81
12530,Rain,Schweine,9750,2659,0.27
13194,Niederbüren,Schweine,9602,1530,0.16
12564,Grossdietwil,Schweine,9553,838,0.09
12584,Schüpfheim,Schweine,9202,4188,0.46
12545,Nottwil,Schweine,8603,3728,0.43
12572,Schötz,Schweine,8519,4272,0.5
13196,Oberbüren,Schweine,8371,4358,0.52
12254,Madiswil,Schweine,8313,3239,0.39
12558,Dagmersellen,Schweine,8040,5287,0.66
12553,Triengen,Schweine,7918,4587,0.58
12531,Römerswil,Schweine,7912,1763,0.22
13628,Wigoltingen,Schweine,7733,2423,0.31
12526,Hitzkirch,Schweine,7699,5190,0.67
12351,Fraubrunnen,Schweine,7608,4962,0.65
13618,Affeltrangen,Schweine,7367,2520,0.34
13109,Rüte,Schweine,7084,3543,0.5
12511,Malters,Schweine,7036,7108,1.01
13556,Amriswil,Schweine,6969,13346,1.92
12566,Luthern,Schweine,6754,1281,0.19
12580,Entlebuch,Schweine,6632,3367,0.51
12557,Altishofen,Schweine,6359,1548,0.24
13145,Oberriet (SG),Schweine,6331,8811,1.39
13602,Fischingen,Schweine,6310,2686,0.43
13479,Merenschwand,Schweine,6300,3491,0.55
12569,Pfaffnau,Schweine,6295,2653,0.42
13195,Niederhelfenschwil,Schweine,6286,3069,0.49
12576,Zell (LU),Schweine,6145,2025,0.33
12573,Ufhusen,Schweine,6123,891,0.15
12546,Oberkirch,Schweine,6114,4636,0.76
12586,Escholzmatt-Marbach,Schweine,6089,4358,0.72
12532,Rothenburg,Schweine,6083,7430,1.22
13547,Egnach,Schweine,6072,4699,0.77
13625,Bussnang,Schweine,6055,2268,0.37
13620,Wuppenau,Schweine,5858,1133,0.19
13611,Bischofszell,Schweine,5693,5947,1.04
13593,Wäldi,Schweine,5602,1049,0.19
13166,Benken (SG),Schweine,5454,2916,0.53
12565,Hergiswil bei Willisau,Schweine,5453,1890,0.35
12620,Küssnacht (SZ),Schweine,5404,12512,2.32
12678,Hünenberg,Schweine,5393,8827,1.64
12284,Seeberg,Schweine,5361,1573,0.29
12550,Schlierbach,Schweine,5302,840,0.16
12525,Eschenbach (LU),Schweine,5274,3684,0.7
12570,Reiden,Schweine,5270,7008,1.33
12541,Hildisrieden,Schweine,5177,2214,0.43
12211,Schüpfen,Schweine,5021,3719,0.74
13619,Schönholzerswilen,Schweine,4975,838,0.17
12725,Villorsonnens,Schweine,4953,1347,0.27
13962,Gollion,Schweine,4927,901,0.18
13594,Raperswilen,Schweine,4865,391,0.08
12294,Alchenstorf,Schweine,4838,589,0.12
13116,Muolen,Schweine,4810,1208,0.25
13198,Wil (SG),Schweine,4743,23751,5.01
13608,Wängi,Schweine,4733,4632,0.98
13087,Stein (AR),Schweine,4704,1418,0.3
13108,Gonten,Schweine,4641,1434,0.31
13621,Amlikon-Bissegg,Schweine,4634,1311,0.28
12559,Ebersecken,Schweine,4624,395,0.09
12394,Neuenegg,Schweine,4573,5436,1.19
13189,Degersheim,Schweine,4497,3986,0.89
13110,Schlatt-Haslen,Schweine,4492,1102,0.25
13587,Kemmental,Schweine,4403,2465,0.56
12210,Rapperswil (BE),Schweine,4323,2608,0.6
13573,Herdern,Schweine,4293,1030,0.24
13182,Neckertal,Schweine,4289,4014,0.94
13470,Beinwil (Freiamt),Schweine,4273,1110,0.26
13589,Langrickenbach,Schweine,4238,1285,0.3
12404,Kirchdorf (BE),Schweine,4228,963,0.23
12581,Flühli,Schweine,4167,1937,0.46
13574,Homburg,Schweine,4137,1537,0.37
12319,Langnau im Emmental,Schweine,4120,9241,2.24
13115,Häggenschwil,Schweine,4095,1310,0.32
12547,Rickenbach (LU),Schweine,4058,3248,0.8
13614,Hohentannen,Schweine,4051,598,0.15
12543,Mauensee,Schweine,4032,1414,0.35
13068,Beggingen,Schweine,3984,476,0.12
12297,Hasle bei Burgdorf,Schweine,3959,3331,0.84
13551,Roggwil (TG),Schweine,3944,3065,0.78
12392,Mühleberg,Schweine,3894,2843,0.73
12268,Huttwil,Schweine,3886,4835,1.24
13187,Bütschwil-Ganterschwil,Schweine,3882,4734,1.22
13086,Schwellbrunn,Schweine,3825,1565,0.41
13107,Appenzell,Schweine,3813,5825,1.53
12296,Ersigen,Schweine,3798,2010,0.53
12542,Knutwil,Schweine,3738,2154,0.58
13069,Schleitheim,Schweine,3730,1675,0.45
13624,Bürglen (TG),Schweine,3725,3751,1.01
13142,Altstätten,Schweine,3712,11438,3.08
13150,Gams,Schweine,3711,3339,0.9
12551,Sempach,Schweine,3632,4106,1.13
12676,Baar,Schweine,3620,24129,6.67
12536,Büron,Schweine,3609,2357,0.65
12562,Fischbach,Schweine,3585,699,0.19
13168,Schänis,Schweine,3572,3758,1.05
12269,Walterswil (BE),Schweine,3557,546,0.15
12748,Sâles,Schweine,3457,1446,0.42
12222,Wengi,Schweine,3419,592,0.17
12587,Wolhusen,Schweine,3416,4299,1.26
13615,Kradolf-Schönenberg,Schweine,3391,3535,1.04
13420,Schlossrued,Schweine,3371,841,0.25
12652,Kerns,Schweine,3353,6194,1.85
13613,Hauptwil-Gottshaus,Schweine,3352,1920,0.57
13152,Sennwald,Schweine,3337,5455,1.63
13186,Mosnang,Schweine,3327,2890,0.87
12500,Luzern,Schweine,3318,81592,24.59
13473,Boswil,Schweine,3313,2808,0.85
13623,Birwinken,Schweine,3296,1338,0.41
13568,Thundorf,Schweine,3246,1462,0.45
12538,Eich,Schweine,3243,1658,0.51
12523,Emmen,Schweine,3230,30228,9.36
13058,Thayngen,Schweine,3216,5422,1.69
12329,Lützelflüh,Schweine,3201,4092,1.28
12814,St. Silvester,Schweine,3190,986,0.31
13173,Gommiswald,Schweine,3189,5053,1.58
12327,Affoltern im Emmental,Schweine,3184,1133,0.36
12398,Schwarzenburg,Schweine,3182,6887,2.16
13190,Flawil,Schweine,3177,10505,3.31
12533,Schongau,Schweine,3168,1020,0.32
13482,Oberrüti,Schweine,3141,1575,0.5
12809,Heitenried,Schweine,3120,1365,0.44
13616,Sulgen,Schweine,3107,3741,1.2
12677,Cham,Schweine,3018,16216,5.37
12313,Wynigen,Schweine,2990,2022,0.68
13612,Erlen,Schweine,2980,3649,1.22
12560,Egolzwil,Schweine,2969,1439,0.48
13590,Lengwil,Schweine,2966,1686,0.57
12527,Hochdorf,Schweine,2951,9814,3.33
12556,Altbüron,Schweine,2939,1013,0.34
12344,Wohlen bei Bern,Schweine,2933,9136,3.11
13586,Güttingen,Schweine,2908,1568,0.54
12205,Grossaffoltern,Schweine,2899,3005,1.04
12659,Buochs,Schweine,2884,5389,1.87
13163,Walenstadt,Schweine,2826,5590,1.98
13940,Apples,Schweine,2809,1413,0.5
12663,Ennetmoos,Schweine,2795,2108,0.75
13572,Eschenz,Schweine,2775,1729,0.62
12215,Büren an der Aare,Schweine,2756,3596,1.3
13793,Corcelles-près-Payerne,Schweine,2747,2381,0.87
12856,Schnottwil,Schweine,2739,1082,0.4
12513,Meierskappel,Schweine,2704,1371,0.51
12926,Gretzenbach,Schweine,2686,2703,1.01
12807,Giffers,Schweine,2664,1561,0.59
13481,Muri (AG),Schweine,2651,7638,2.88
12781,Hauterive (FR),Schweine,2636,2431,0.92
12352,Jegenstorf,Schweine,2555,5710,2.23
13328,Küttigen,Schweine,2554,6081,2.38
12328,Dürrenroth,Schweine,2553,1061,0.42
12574,Wauwil,Schweine,2547,2130,0.84
12655,Sarnen,Schweine,2535,10233,4.04
14350,Haute-Ajoie,Schweine,2528,941,0.37
12549,Schenkon,Schweine,2499,2816,1.13
12643,Schwyz,Schweine,2492,14885,5.97
12331,Sumiswald,Schweine,2481,5021,2.02
13174,Eschenbach (SG),Schweine,2480,9245,3.73
12335,Bern,Schweine,2473,133115,53.83
12859,Buchegg,Schweine,2449,2532,1.03
12320,Lauperswil,Schweine,2447,2604,1.06
12298,Heimiswil,Schweine,2444,1589,0.65
13881,Vuiteboeuf,Schweine,2400,562,0.23
12787,Courtepin,Schweine,2383,5398,2.27
13178,Nesslau,Schweine,2380,3611,1.52
12813,St. Antoni,Schweine,2361,2044,0.87
12855,Messen,Schweine,2340,1484,0.63
13192,Oberuzwil,Schweine,2330,6423,2.76
12806,Düdingen,Schweine,2312,7825,3.38
13329,Muhen,Schweine,2301,3879,1.69
13191,Jonschwil,Schweine,2283,3788,1.66
11969,Knonau,Schweine,2249,2168,0.96
12520,Aesch (LU),Schweine,2240,1141,0.51
13118,Wittenbach,Schweine,2237,9779,4.37
13831,Villars-le-Terroir,Schweine,2234,1066,0.48
12314,Bätterkinden,Schweine,2212,3242,1.47
13578,Pfyn,Schweine,2204,1951,0.89
12369,Konolfingen,Schweine,2177,5280,2.43
12212,Seedorf (BE),Schweine,2173,3097,1.43
12339,Köniz,Schweine,2142,40938,19.11
13476,Dietwil,Schweine,2138,1310,0.61
12585,Werthenstein,Schweine,2128,2040,0.96
12583,Romoos,Schweine,2120,667,0.31
12380,Worb,Schweine,2114,11473,5.43
12563,Gettnau,Schweine,2113,1120,0.53
12265,Ursenbach,Schweine,2110,903,0.43
13083,Herisau,Schweine,2108,15730,7.46
12582,Hasle (LU),Schweine,2105,1746,0.83
13138,Diepoldsau,Schweine,2097,6456,3.08
13197,Zuzwil (SG),Schweine,2094,4816,2.3
13088,Urnäsch,Schweine,2083,2271,1.09
12737,Echarlens,Schweine,2045,802,0.39
13127,Mörschwil,Schweine,2025,3569,1.76
13599,Bichelsee-Balterswil,Schweine,2020,2826,1.4
13924,Pully,Schweine,2013,17972,8.93
12275,Graben,Schweine,2000,335,0.17
13036,Diegten,Schweine,1986,1623,0.82
12590,Altdorf (UR),Schweine,1986,9211,4.64
12649,Alpnach,Schweine,1981,5997,3.03
12282,Ochlenberg,Schweine,1981,561,0.28
13562,Frauenfeld,Schweine,1974,25200,12.77
13577,Müllheim,Schweine,1973,2939,1.49
12252,Langenthal,Schweine,1972,15501,7.86
14226,La Brévine,Schweine,1962,632,0.32
12270,Wyssachen,Schweine,1958,1146,0.59
13912,Yverdon-les-Bains,Schweine,1935,29977,15.49
12353,Iffwil,Schweine,1934,422,0.22
12330,Rüegsau,Schweine,1932,3202,1.66
13603,Lommis,Schweine,1915,1217,0.64
