,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
11350,Biasca,Ziegen,960,6176,6.43
11248,Serravalle,Ziegen,813,2101,2.58
11240,Bellinzona,Ziegen,706,42901,60.77
11908,Courroux,Ziegen,693,3256,4.7
10276,Wolfenschiessen,Ziegen,688,2136,3.1
10280,Glarus Süd,Ziegen,650,9575,14.73
11254,Faido,Ziegen,646,2978,4.61
11246,Acquarossa,Ziegen,641,1850,2.89
11359,Lavizzara,Ziegen,627,569,0.91
11812,St. Niklaus,Ziegen,616,2265,3.68
10765,Flums,Ziegen,570,4919,8.63
9926,Eggiwil,Ziegen,516,2458,4.76
9927,Langnau im Emmental,Ziegen,479,9241,19.29
11685,Naters,Ziegen,471,9951,21.13
10279,Glarus Nord,Ziegen,460,18057,39.25
10246,Muotathal,Ziegen,452,3543,7.84
10817,Poschiavo,Ziegen,448,3534,7.89
10794,Mosnang,Ziegen,425,2890,6.8
11329,Capriasca,Ziegen,423,6603,15.61
11348,Breggia,Ziegen,423,2059,4.87
10026,Gurzelen,Ziegen,407,855,2.1
10083,Grindelwald,Ziegen,406,3818,9.4
10892,Lumnezia,Ziegen,397,2068,5.21
10853,Bregaglia,Ziegen,390,1537,3.94
10813,Surses,Ziegen,383,2356,6.15
11089,Muri (AG),Ziegen,368,7638,20.76
10144,Büron,Ziegen,358,2357,6.58
11923,Val Terbi,Ziegen,355,2641,7.44
11922,Haute-Sorne,Ziegen,348,6908,19.85
11276,Sonogno,Ziegen,346,87,0.25
10070,Reichenbach im Kandertal,Ziegen,343,3604,10.51
10333,Villorsonnens,Ziegen,343,1347,3.93
11534,Forel (Lavaux),Ziegen,339,2075,6.12
11364,Bex,Ziegen,336,7608,22.64
10790,Neckertal,Ziegen,327,4014,12.28
11697,Bagnes,Ziegen,325,8073,24.84
11247,Blenio,Ziegen,323,1816,5.62
10220,Einsiedeln,Ziegen,314,15361,48.92
10789,Oberhelfenschwil,Ziegen,297,1296,4.36
10287,Menzingen,Ziegen,297,4467,15.04
10237,Vorderthal,Ziegen,294,1016,3.46
10791,Wattwil,Ziegen,294,8630,29.35
