,Ortsname,Tiere 2017,Einwohner 2017,Totalanteil 2017
1906,Scuol,4055,4638.0,1.14
1444,Naters,3944,9951.0,2.52
1885,Schwarzenburg,3208,6887.0,2.15
776,Flums,3025,4919.0,1.63
1528,Oberriet (SG),2985,8811.0,2.95
1892,Schwyz,2523,14885.0,5.9
1778,Rüeggisberg,2495,1819.0,0.73
1927,Serravalle,2493,2101.0,0.84
116,Bagnes,2375,8073.0,3.4
748,Felben-Wellhausen,2359,2749.0,1.17
681,Einsiedeln,2272,15361.0,6.76
1263,Lumnezia,2222,2068.0,0.93
156,Bellinzona,2202,42901.0,19.48
1625,Poschiavo,2199,3534.0,1.61
1407,Muotathal,2190,3543.0,1.62
853,Glarus Süd,2153,9575.0,4.45
1031,Ilanz/Glion,2037,4736.0,2.32
1325,Medel (Lucmagn),1956,385.0,0.2
2018,Surses,1729,2356.0,1.36
1128,Küssnacht (SZ),1721,12512.0,7.27
586,Disentis/Mustér,1672,2098.0,1.25
852,Glarus Nord,1631,18057.0,11.07
412,Bütschwil-Ganterschwil,1521,4734.0,3.11
1678,Reichenburg,1515,3566.0,2.35
1273,Luzein,1476,1550.0,1.05
1340,Mels,1474,8605.0,5.84
2158,Valsot,1468,876.0,0.6
1531,Obersaxen Mundaun,1466,1147.0,0.78
1344,Menzingen,1463,4467.0,3.05
2040,Thal,1449,6396.0,4.41
1974,St. Niklaus,1442,2265.0,1.57
8,Acquarossa,1442,1850.0,1.28
577,Diepoldsau,1435,6456.0,4.5
562,Degersheim,1417,3986.0,2.81
742,Faido,1397,2978.0,2.13
2157,Vals,1338,984.0,0.74
721,Eschenbach (SG),1331,9245.0,6.95
913,Gurbrü,1317,247.0,0.19
1574,Orsières,1300,3220.0,2.48
2088,Tujetsch,1296,1285.0,0.99
193,Bex,1290,7608.0,5.9
2220,Vorderthal,1278,1016.0,0.79
0,Aadorf,1263,8865.0,7.02
1435,Mümliswil-Ramiswil,1262,2456.0,1.95
1542,Oberägeri,1253,5994.0,4.78
164,Benken (SG),1243,2916.0,2.35
561,Davos,1239,11060.0,8.93
817,Gampel-Bratsch,1232,1965.0,1.59
1452,Nesslau,1224,3611.0,2.95
865,Gossau (SG),1210,18055.0,14.92
2281,Wattwil,1209,8630.0,7.14
259,Biasca,1207,6176.0,5.12
1169,Langnau im Emmental,1198,9241.0,7.71
2278,Wassen,1188,441.0,0.37
1292,Maienfeld,1179,2835.0,2.4
2207,Villorsonnens,1179,1347.0,1.14
85,Arth,1173,11735.0,10.0
288,Blenio,1170,1816.0,1.55
1536,Oberuzwil,1144,6423.0,5.61
2015,Sumvitg,1138,1216.0,1.07
2144,Val-d'Illiez,1136,1902.0,1.67
813,Galgenen,1130,5199.0,4.6
545,Cuarny,1119,238.0,0.21
489,Collombey-Muraz,1111,8863.0,7.98
1833,Samnaun,1106,758.0,0.69
1108,Klosters-Serneus,1100,4476.0,4.07
672,Eggiwil,1084,2458.0,2.27
2213,Visperterminen,1082,1363.0,1.26
1751,Rossinière,1081,544.0,0.5
2334,Wolfenschiessen,1081,2136.0,1.98
698,Entlebuch,1076,3367.0,3.13
1363,Milvignes,1043,8986.0,8.62
1817,Saint-Livres,1029,688.0,0.67
967,Hergiswil bei Willisau,1024,1890.0,1.85
1179,Lauperswil,1017,2604.0,2.56
1888,Schwellbrunn,1016,1565.0,1.54
1446,Neckertal,1013,4014.0,3.96
737,Evolène,1008,1697.0,1.68
2259,Walenstadt,1006,5590.0,5.56
1520,Oberiberg,998,885.0,0.89
49,Altstätten,993,11438.0,11.52
2208,Vilters-Wangs,989,4738.0,4.79
2014,Sumiswald,989,5021.0,5.08
1923,Sennwald,983,5455.0,5.55
1938,Silenen,967,2045.0,2.11
