,Ortsname,Einheitstyp,Art,Tiere 1997,Tiere 2007,Tiere 2017,Einwohner 1997,Einwohner 2007,Einwohner 2017,Ortsnummer,Anteil 2017,Anteil 2007,Anteil 1997
0,Schweiz,Land,Betriebe,77730,61764,51620,7081346,7508739,8419550,,163.11,121.57,91.1
1,Zürich,Kanton,Betriebe,5024,4155,3432,1178848,1284052,1487969,,433.56,309.04,234.64
2,Bezirk Affoltern,Bezirk,Betriebe,399,329,275,39263,44635,52904,,192.38,135.67,98.4
3,Aeugst am Albis,Gemeinde,Betriebe,30,18,14,1431,1645,1977,0001,141.21,91.39,47.7
4,Affoltern am Albis,Gemeinde,Betriebe,33,28,22,9451,10302,11900,0002,540.91,367.93,286.39
5,Bonstetten,Gemeinde,Betriebe,22,19,14,3561,4612,5435,0003,388.21,242.74,161.86
6,Hausen am Albis,Gemeinde,Betriebe,51,45,35,3034,3256,3571,0004,102.03,72.36,59.49
7,Hedingen,Gemeinde,Betriebe,17,13,11,2802,3307,3687,0005,335.18,254.38,164.82
8,Kappel am Albis,Gemeinde,Betriebe,27,26,22,855,857,1110,0006,50.45,32.96,31.67
9,Knonau,Gemeinde,Betriebe,27,27,25,1228,1583,2168,0007,86.72,58.63,45.48
10,Maschwanden,Gemeinde,Betriebe,27,20,18,510,568,626,0008,34.78,28.4,18.89
11,Mettmenstetten,Gemeinde,Betriebe,57,49,47,3399,4005,4861,0009,103.43,81.73,59.63
12,Obfelden,Gemeinde,Betriebe,29,22,17,4099,4406,5131,0010,301.82,200.27,141.34
13,Ottenbach,Gemeinde,Betriebe,24,17,14,2172,2252,2591,0011,185.07,132.47,90.5
14,Rifferswil,Gemeinde,Betriebe,21,18,16,704,817,1078,0012,67.38,45.39,33.52
15,Stallikon,Gemeinde,Betriebe,25,20,15,2492,2805,3646,0013,243.07,140.25,99.68
16,Wettswil am Albis,Gemeinde,Betriebe,9,7,5,3525,4220,5123,0014,1024.6,602.86,391.67
17,Bezirk Andelfingen,Bezirk,Betriebe,619,498,408,24766,28027,30981,,75.93,56.28,40.01
18,Adlikon,Gemeinde,Betriebe,31,24,21,551,559,666,0021,31.71,23.29,17.77
19,Benken (ZH),Gemeinde,Betriebe,24,22,20,717,753,857,0022,42.85,34.23,29.88
20,Berg am Irchel,Gemeinde,Betriebe,35,27,16,528,563,567,0023,35.44,20.85,15.09
21,Buch am Irchel,Gemeinde,Betriebe,32,25,20,693,815,957,0024,47.85,32.6,21.66
22,Dachsen,Gemeinde,Betriebe,10,8,7,1269,1784,1998,0025,285.43,223.0,126.9
23,Dorf,Gemeinde,Betriebe,14,13,11,526,637,629,0026,57.18,49.0,37.57
24,Feuerthalen,Gemeinde,Betriebe,1,1,1,2673,3221,3596,0027,3596.0,3221.0,2673.0
