,Ortsname,Einheitstyp,Art,Tiere 1997,Tiere 2007,Tiere 2017,Einwohner 1997,Einwohner 2007,Einwohner 2017,Ortsnummer
0,Schweiz,Land,Betriebe,77730,61764,51620,7081346,7508739,8419550,
1,Zürich,Kanton,Betriebe,5024,4155,3432,1178848,1284052,1487969,
2,Bezirk Affoltern,Bezirk,Betriebe,399,329,275,39263,44635,52904,
3,Aeugst am Albis,Gemeinde,Betriebe,30,18,14,1431,1645,1977,0001
4,Affoltern am Albis,Gemeinde,Betriebe,33,28,22,9451,10302,11900,0002
5,Bonstetten,Gemeinde,Betriebe,22,19,14,3561,4612,5435,0003
6,Hausen am Albis,Gemeinde,Betriebe,51,45,35,3034,3256,3571,0004
7,Hedingen,Gemeinde,Betriebe,17,13,11,2802,3307,3687,0005
8,Kappel am Albis,Gemeinde,Betriebe,27,26,22,855,857,1110,0006
9,Knonau,Gemeinde,Betriebe,27,27,25,1228,1583,2168,0007
10,Maschwanden,Gemeinde,Betriebe,27,20,18,510,568,626,0008
11,Mettmenstetten,Gemeinde,Betriebe,57,49,47,3399,4005,4861,0009
12,Obfelden,Gemeinde,Betriebe,29,22,17,4099,4406,5131,0010
13,Ottenbach,Gemeinde,Betriebe,24,17,14,2172,2252,2591,0011
14,Rifferswil,Gemeinde,Betriebe,21,18,16,704,817,1078,0012
15,Stallikon,Gemeinde,Betriebe,25,20,15,2492,2805,3646,0013
16,Wettswil am Albis,Gemeinde,Betriebe,9,7,5,3525,4220,5123,0014
17,Bezirk Andelfingen,Bezirk,Betriebe,619,498,408,24766,28027,30981,
18,Adlikon,Gemeinde,Betriebe,31,24,21,551,559,666,0021
19,Benken (ZH),Gemeinde,Betriebe,24,22,20,717,753,857,0022
20,Berg am Irchel,Gemeinde,Betriebe,35,27,16,528,563,567,0023
21,Buch am Irchel,Gemeinde,Betriebe,32,25,20,693,815,957,0024
22,Dachsen,Gemeinde,Betriebe,10,8,7,1269,1784,1998,0025
23,Dorf,Gemeinde,Betriebe,14,13,11,526,637,629,0026
24,Feuerthalen,Gemeinde,Betriebe,1,1,1,2673,3221,3596,0027
25,Flaach,Gemeinde,Betriebe,39,35,26,1119,1212,1362,0028
26,Flurlingen,Gemeinde,Betriebe,2,3,2,1183,1353,1434,0029
27,Andelfingen,Gemeinde,Betriebe,13,15,12,1575,1720,2224,0030
28,Henggart,Gemeinde,Betriebe,17,14,12,1438,1903,2242,0031
29,Humlikon,Gemeinde,Betriebe,14,8,7,386,438,496,0032
30,Kleinandelfingen,Gemeinde,Betriebe,43,29,25,1748,1989,2067,0033
31,Laufen-Uhwiesen,Gemeinde,Betriebe,26,21,19,1345,1499,1650,0034
32,Marthalen,Gemeinde,Betriebe,46,38,31,1730,1814,1938,0035
33,Oberstammheim,Gemeinde,Betriebe,42,27,30,1044,1077,1191,0036
34,Ossingen,Gemeinde,Betriebe,43,33,26,1178,1305,1456,0037
35,Rheinau,Gemeinde,Betriebe,3,2,2,1263,1294,1302,0038
36,Thalheim an der Thur,Gemeinde,Betriebe,25,17,19,600,732,919,0039
37,Trüllikon,Gemeinde,Betriebe,49,40,30,992,1014,1064,0040
38,Truttikon,Gemeinde,Betriebe,20,20,17,403,468,469,0041
39,Unterstammheim,Gemeinde,Betriebe,32,25,20,908,897,899,0042
40,Volken,Gemeinde,Betriebe,19,17,11,254,292,341,0043
41,Waltalingen,Gemeinde,Betriebe,39,34,23,643,688,657,0044
42,Bezirk Bülach,Bezirk,Betriebe,489,390,322,103511,120585,147379,
43,Bachenbülach,Gemeinde,Betriebe,9,5,3,3022,3656,4087,0051
44,Bassersdorf,Gemeinde,Betriebe,20,15,13,6900,9851,11616,0052
45,Bülach,Gemeinde,Betriebe,32,27,22,13591,15670,19611,0053
46,Dietlikon,Gemeinde,Betriebe,6,4,2,5793,6880,7568,0054
47,Eglisau,Gemeinde,Betriebe,28,24,21,2713,3469,5167,0055
48,Embrach,Gemeinde,Betriebe,29,24,22,7092,8494,9189,0056
