,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
3018,Escholzmatt-Marbach,Rinder,7678,4358,0.57
2980,Ruswil,Rinder,7503,6908,0.92
4677,Val-de-Travers,Rinder,6797,10950,1.61
4674,Val-de-Ruz,Rinder,6533,16832,2.58
2830,Schwarzenburg,Rinder,5822,6887,1.18
3610,Nesslau,Rinder,5798,3611,0.62
2967,Beromünster,Rinder,5676,6517,1.15
2890,Frutigen,Rinder,5455,6894,1.26
2750,Eggiwil,Rinder,5381,2458,0.46
3574,Altstätten,Rinder,5341,11438,2.14
3103,Glarus Nord,Rinder,5304,18057,3.4
3044,Einsiedeln,Rinder,5285,15361,2.91
3016,Schüpfheim,Rinder,5199,4188,0.81
3614,Neckertal,Rinder,5089,4014,0.79
3606,Eschenbach (SG),Rinder,5086,9245,1.82
3009,Willisau,Rinder,5034,7777,1.54
2886,Saanen,Rinder,5030,6882,1.37
3615,Wattwil,Rinder,4943,8630,1.75
3616,Kirchberg (SG),Rinder,4922,8977,1.82
2763,Sumiswald,Rinder,4866,5021,1.03
3216,Gibloux,Rinder,4846,7236,1.49
4654,La Chaux-de-Fonds,Rinder,4786,38965,8.14
3012,Entlebuch,Rinder,4613,3367,0.73
3104,Glarus Süd,Rinder,4573,9575,2.09
4781,Clos du Doubs,Rinder,4516,1321,0.29
2998,Luthern,Rinder,4463,1281,0.29
2751,Langnau im Emmental,Rinder,4460,9241,2.07
3618,Mosnang,Rinder,4447,2890,0.65
3156,Vuisternens-devant-Romont,Rinder,4397,2271,0.52
2976,Neuenkirch,Rinder,4243,6957,1.64
2771,Köniz,Rinder,4214,40938,9.71
2943,Malters,Rinder,4165,7108,1.71
3180,Sâles,Rinder,4138,1446,0.35
3087,Sarnen,Rinder,4107,10233,2.49
2960,Hohenrain,Rinder,4045,2531,0.63
2828,Guggisberg,Rinder,4004,1586,0.4
2999,Menznau,Rinder,3907,2897,0.74
3084,Kerns,Rinder,3902,6194,1.59
3716,Lumnezia,Rinder,3896,2068,0.53
2997,Hergiswil bei Willisau,Rinder,3844,1890,0.49
2757,Trub,Rinder,3828,1350,0.35
3075,Schwyz,Rinder,3802,14885,3.92
3153,Siviriez,Rinder,3770,2214,0.59
2842,Rüeggisberg,Rinder,3584,1819,0.51
3555,Waldkirch,Rinder,3581,3509,0.98
2896,Diemtigen,Rinder,3540,2175,0.61
3609,Wildhaus-Alt St. Johann,Rinder,3520,2667,0.76
3541,Rüte,Rinder,3487,3543,1.02
3577,Oberriet (SG),Rinder,3478,8811,2.53
2761,Lützelflüh,Rinder,3342,4092,1.22
4658,La Brévine,Rinder,3332,632,0.19
2972,Grosswangen,Rinder,3292,3162,0.96
3554,Gossau (SG),Rinder,3267,18055,5.53
3590,Mels,Rinder,3256,8605,2.64
3605,Gommiswald,Rinder,3246,5053,1.56
2958,Hitzkirch,Rinder,3224,5190,1.61
3589,Flums,Rinder,3215,4919,1.53
2745,Wynigen,Rinder,3211,2022,0.63
3052,Küssnacht (SZ),Rinder,3177,12512,3.94
4492,Château-d'Oex,Rinder,3105,3474,1.12
3111,Menzingen,Rinder,3100,4467,1.44
3583,Grabs,Rinder,3091,6884,2.23
2894,Reichenbach im Kandertal,Rinder,3037,3604,1.19
3520,Urnäsch,Rinder,3033,2271,0.75
3600,Schänis,Rinder,3015,3758,1.25
2888,Adelboden,Rinder,3007,3370,1.12
2881,Lenk,Rinder,3007,2358,0.78
3584,Sennwald,Rinder,2996,5455,1.82
3262,La Verrerie,Rinder,2995,1158,0.39
3717,Ilanz/Glion,Rinder,2971,4736,1.59
3540,Gonten,Rinder,2971,1434,0.48
2963,Römerswil,Rinder,2955,1763,0.6
3718,Safiental,Rinder,2885,897,0.31
4782,Haute-Ajoie,Rinder,2882,941,0.33
4747,Val Terbi,Rinder,2867,2641,0.92
3013,Flühli,Rinder,2861,1937,0.68
2880,Boltigen,Rinder,2850,1294,0.45
2753,Röthenbach im Emmental,Rinder,2847,1183,0.42
2969,Buttisholz,Rinder,2840,3248,1.14
2730,Heimiswil,Rinder,2839,1589,0.56
2776,Wohlen bei Bern,Rinder,2820,9136,3.24
3108,Baar,Rinder,2815,24129,8.57
3014,Hasle (LU),Rinder,2810,1746,0.62
3110,Hünenberg,Rinder,2792,8827,3.16
4369,Oron,Rinder,2789,5423,1.94
3542,Schlatt-Haslen,Rinder,2781,1102,0.4
2883,Zweisimmen,Rinder,2772,3035,1.09
3627,Niederhelfenschwil,Rinder,2769,3069,1.11
4746,Haute-Sorne,Rinder,2761,6908,2.5
4034,Fischingen,Rinder,2749,2686,0.98
4233,Valbroye,Rinder,2713,2962,1.09
3238,Düdingen,Rinder,2663,7825,2.94
3916,Sins,Rinder,2651,4302,1.62
2729,Hasle bei Burgdorf,Rinder,2640,3331,1.26
3619,Bütschwil-Ganterschwil,Rinder,2636,4734,1.8
3598,Benken (SG),Rinder,2619,2916,1.11
4269,Montanaire,Rinder,2616,2494,0.95
3281,Mümliswil-Ramiswil,Rinder,2613,2456,0.94
2882,St. Stephan,Rinder,2564,1325,0.52
4006,Homburg,Rinder,2560,1537,0.6
3086,Sachseln,Rinder,2555,5060,1.98
2755,Schangnau,Rinder,2535,909,0.36
2964,Rothenburg,Rinder,2528,7430,2.94
2686,Madiswil,Rinder,2525,3239,1.28
2824,Mühleberg,Rinder,2522,2843,1.13
3539,Appenzell,Rinder,2518,5825,2.31
2490,Wald (ZH),Rinder,2506,9645,3.85
3515,Herisau,Rinder,2489,15730,6.32
2990,Dagmersellen,Rinder,2488,5287,2.12
3083,Giswil,Rinder,2479,3631,1.46
2756,Signau,Rinder,2464,2737,1.11
3626,Niederbüren,Rinder,2449,1530,0.62
3582,Gams,Rinder,2415,3339,1.38
3988,Amriswil,Rinder,2410,13346,5.54
2985,Triengen,Rinder,2400,4587,1.91
3490,Thayngen,Rinder,2395,5422,2.26
3645,Scuol,Rinder,2376,4638,1.95
3065,Arth,Rinder,2371,11735,4.95
2898,Oberwil im Simmental,Rinder,2360,799,0.34
3157,Villorsonnens,Rinder,2344,1347,0.57
2775,Vechigen,Rinder,2341,5240,2.24
3113,Oberägeri,Rinder,2331,5994,2.57
2868,Sigriswil,Rinder,2330,4759,2.04
4057,Bussnang,Rinder,2322,2268,0.98
2503,Horgen,Rinder,2320,20291,8.75
4360,Puidoux,Rinder,2303,2863,1.24
3516,Hundwil,Rinder,2299,956,0.42
3081,Alpnach,Rinder,2284,5997,2.63
4050,Affeltrangen,Rinder,2262,2520,1.11
3628,Oberbüren,Rinder,2258,4358,1.93
3070,Muotathal,Rinder,2243,3543,1.58
4676,Les Verrières,Rinder,2228,706,0.32
3236,Alterswil,Rinder,2226,2037,0.92
2702,Wyssachen,Rinder,2219,1146,0.52
3608,Ebnat-Kappel,Rinder,2195,5034,2.29
2700,Huttwil,Rinder,2185,4835,2.21
2754,Rüderswil,Rinder,2181,2369,1.09
4019,Kemmental,Rinder,2178,2465,1.13
3015,Romoos,Rinder,2174,667,0.31
3242,Plaffeien,Rinder,2162,3566,1.65
2487,Hinwil,Rinder,2161,11095,5.13
2783,Fraubrunnen,Rinder,2160,4962,2.3
3518,Schwellbrunn,Rinder,2155,1565,0.73
3059,Schübelbach,Rinder,2151,9073,4.22
3026,Bürglen (UR),Rinder,2149,4021,1.87
3002,Reiden,Rinder,2147,7008,3.26
3637,Surses,Rinder,2136,2356,1.1
2812,Worb,Rinder,2122,11473,5.41
3154,Ursy,Rinder,2110,3030,1.44
2762,Rüegsau,Rinder,2109,3202,1.52
3109,Cham,Rinder,2107,16216,7.7
3611,Hemberg,Rinder,2086,914,0.44
3245,St. Antoni,Rinder,2071,2044,0.99
3548,Muolen,Rinder,2069,1208,0.58
3259,Saint-Martin (FR),Rinder,2067,1015,0.49
3019,Wolhusen,Rinder,2061,4299,2.09
3501,Schleitheim,Rinder,2057,1675,0.81
3005,Ufhusen,Rinder,2057,891,0.43
2957,Eschenbach (LU),Rinder,2055,3684,1.79
3247,St. Ursen,Rinder,2051,1319,0.64
3911,Merenschwand,Rinder,2031,3491,1.72
2856,Buchholterberg,Rinder,2029,1544,0.76
3979,Egnach,Rinder,2028,4699,2.32
3225,Gurmels,Rinder,2027,4181,2.06
3719,Breil/Brigels,Rinder,2025,1263,0.62
4780,Basse-Allaine,Rinder,2025,1225,0.6
2947,Schwarzenberg,Rinder,2008,1719,0.86
3105,Glarus,Rinder,1989,12515,6.29
3256,Châtel-Saint-Denis,Rinder,1986,6528,3.29
2644,Seedorf (BE),Rinder,1985,3097,1.56
3706,Luzein,Rinder,1984,1550,0.78
2585,Sonvilier,Rinder,1969,1266,0.64
4053,Amlikon-Bissegg,Rinder,1967,1311,0.67
4040,Wängi,Rinder,1951,4632,2.37
2841,Riggisberg,Rinder,1946,2456,1.26
4783,La Baroche,Rinder,1944,1212,0.62
2660,Ins,Rinder,1935,3496,1.81
2752,Lauperswil,Rinder,1929,2604,1.35
3630,Wil (SG),Rinder,1922,23751,12.36
4663,Les Ponts-de-Martel,Rinder,1907,1294,0.68
3138,Estavayer,Rinder,1901,9434,4.96
3737,Domleschg,Rinder,1899,1954,1.03
3210,Treyvaux,Rinder,1880,1449,0.77
2928,Meiringen,Rinder,1877,4692,2.5
3114,Risch,Rinder,1876,10355,5.52
2907,Grindelwald,Rinder,1872,3818,2.04
2811,Walkringen,Rinder,1857,1799,0.97
3073,Rothenthurm,Rinder,1853,2375,1.28
3219,Courtepin,Rinder,1847,5398,2.92
2502,Wädenswil,Rinder,1840,21797,11.85
3004,Schötz,Rinder,1828,4272,2.34
3048,Feusisberg,Rinder,1827,5237,2.87
2586,Tramelan,Rinder,1816,4565,2.51
2831,Belp,Rinder,1814,11534,6.36
4653,La Grande-Béroche,Rinder,1811,9068,5.01
3699,Davos,Rinder,1808,11060,6.12
4052,Wuppenau,Rinder,1807,1133,0.63
3017,Werthenstein,Rinder,1806,2040,1.13
2991,Ebersecken,Rinder,1803,395,0.22
3524,Gais,Rinder,1802,3106,1.72
3185,Val-de-Charmey,Rinder,1801,2435,1.35
4521,Bagnes,Rinder,1797,8073,4.49
4021,Langrickenbach,Rinder,1789,1285,0.72
3207,Le Mouret,Rinder,1788,3156,1.77
3703,Klosters-Serneus,Rinder,1788,4476,2.5
3547,Häggenschwil,Rinder,1788,1310,0.73
3599,Kaltbrunn,Rinder,1787,4791,2.68
4051,Schönholzerswilen,Rinder,1786,838,0.47
4759,Saignelégier,Rinder,1785,2556,1.43
2403,Mettmenstetten,Rinder,1783,4861,2.73
3001,Pfaffnau,Rinder,1782,2653,1.49
2965,Schongau,Rinder,1781,1020,0.57
3060,Tuggen,Rinder,1776,3239,1.82
2485,Gossau (ZH),Rinder,1775,9827,5.54
3549,St. Gallen,Rinder,1760,75481,42.89
3078,Unteriberg,Rinder,1756,2365,1.35
4750,Les Bois,Rinder,1752,1219,0.7
2889,Aeschi bei Spiez,Rinder,1752,2232,1.27
3097,Oberdorf (NW),Rinder,1748,3135,1.79
3183,Vuadens,Rinder,1745,2296,1.32
2845,Wald (BE),Rinder,1742,1183,0.68
4044,Erlen,Rinder,1738,3649,2.1
3251,Ueberstorf,Rinder,1738,2343,1.35
3008,Zell (LU),Rinder,1732,2025,1.17
2955,Emmen,Rinder,1730,30228,17.47
3647,Val Müstair,Rinder,1721,1538,0.89
2826,Neuenegg,Rinder,1719,5436,3.16
2760,Dürrenroth,Rinder,1719,1061,0.62
3570,Diepoldsau,Rinder,1709,6456,3.78
3707,Grüsch,Rinder,1707,2049,1.2
3137,Belmont-Broye,Rinder,1705,5402,3.17
2481,Bäretswil,Rinder,1701,5060,2.97
2699,Eriswil,Rinder,1700,1407,0.83
3731,Cazis,Rinder,1697,2132,1.26
4775,Fontenais,Rinder,1696,1686,0.99
3128,Montagny (FR),Rinder,1688,2404,1.42
2770,Kirchlindach,Rinder,1687,3029,1.8
4659,Brot-Plamboz,Rinder,1682,268,0.16
2792,Arni (BE),Rinder,1678,917,0.55
2642,Rapperswil (BE),Rinder,1678,2608,1.55
2764,Trachselwald,Rinder,1675,971,0.58
2801,Konolfingen,Rinder,1675,5280,3.15
2996,Grossdietwil,Rinder,1651,838,0.51
2716,Seeberg,Rinder,1648,1573,0.95
3512,Wilchingen,Rinder,1647,1731,1.05
3182,Vaulruz,Rinder,1647,1045,0.63
2557,Wiesendangen,Rinder,1644,6296,3.83
3291,Buchegg,Rinder,1638,2532,1.55
3054,Altendorf,Rinder,1631,6907,4.23
3694,Arosa,Rinder,1629,3219,1.98
4038,Sirnach,Rinder,1617,7738,4.79
2773,Oberbalm,Rinder,1612,874,0.54
2740,Oberburg,Rinder,1610,2940,1.83
4315,Le Chenit,Rinder,1603,4670,2.91
3095,Ennetmoos,Rinder,1601,2108,1.32
3179,La Roche,Rinder,1598,1644,1.03
4656,La Sagne,Rinder,1592,958,0.6
2977,Nottwil,Rinder,1582,3728,2.36
2836,Kirchdorf (BE),Rinder,1581,963,0.61
3118,Zug,Rinder,1577,29804,18.9
3624,Oberuzwil,Rinder,1577,6423,4.07
2553,Turbenthal,Rinder,1577,4681,2.97
2897,Erlenbach im Simmental,Rinder,1575,1718,1.09
4213,Lucens,Rinder,1570,4069,2.59
4287,Provence,Rinder,1564,390,0.25
2525,Illnau-Effretikon,Rinder,1563,16796,10.75
3100,Wolfenschiessen,Rinder,1559,2136,1.37
4570,Collombey-Muraz,Rinder,1558,8863,5.69
2759,Affoltern im Emmental,Rinder,1554,1133,0.73
3144,Le Châtelard,Rinder,1553,385,0.25
3074,Sattel,Rinder,1550,1926,1.24
2962,Rain,Rinder,1549,2659,1.72
3076,Steinen,Rinder,1541,3358,2.18
3526,Teufen (AR),Rinder,1536,6201,4.04
4288,Sainte-Croix,Rinder,1535,4912,3.2
3636,Albula/Alvra,Rinder,1534,1331,0.87
2477,Stadel,Rinder,1530,2227,1.46
2807,Oberdiessbach,Rinder,1530,3496,2.28
2895,Därstetten,Rinder,1527,851,0.56
4757,Muriaux,Rinder,1527,504,0.33
3159,La Folliaz,Rinder,1524,971,0.64
3085,Lungern,Rinder,1521,2129,1.4
4740,Pleigne,Rinder,1521,344,0.23
3964,Lengnau (AG),Rinder,1518,2680,1.77
