,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
8429,Scuol,Schafe,3780,4638,1.23
9293,Naters,Schafe,3473,9951,2.87
7614,Schwarzenburg,Schafe,2952,6887,2.33
8361,Oberriet (SG),Schafe,2886,8811,3.05
7626,Rüeggisberg,Schafe,2476,1819,0.73
8373,Flums,Schafe,2455,4919,2.0
8777,Felben-Wellhausen,Schafe,2354,2749,1.17
7859,Schwyz,Schafe,2296,14885,6.48
9305,Bagnes,Schafe,2050,8073,3.94
7828,Einsiedeln,Schafe,1958,15361,7.85
8500,Lumnezia,Schafe,1825,2068,1.13
8501,Ilanz/Glion,Schafe,1779,4736,2.66
8425,Poschiavo,Schafe,1751,3534,2.02
7854,Muotathal,Schafe,1738,3543,2.04
8505,Medel (Lucmagn),Schafe,1723,385,0.22
8856,Serravalle,Schafe,1680,2101,1.25
7836,Küssnacht (SZ),Schafe,1648,12512,7.59
8504,Disentis/Mustér,Schafe,1578,2098,1.33
7888,Glarus Süd,Schafe,1503,9575,6.37
8848,Bellinzona,Schafe,1496,42901,28.68
8354,Diepoldsau,Schafe,1433,6456,4.51
7842,Reichenburg,Schafe,1431,3566,2.49
8349,Thal,Schafe,1426,6396,4.49
8403,Bütschwil-Ganterschwil,Schafe,1389,4734,3.41
8405,Degersheim,Schafe,1387,3986,2.87
8421,Surses,Schafe,1346,2356,1.75
7605,Gurbrü,Schafe,1310,247,0.19
8509,Obersaxen Mundaun,Schafe,1294,1147,0.89
9308,Orsières,Schafe,1285,3220,2.51
8813,Aadorf,Schafe,1259,8865,7.04
8390,Eschenbach (SG),Schafe,1225,9245,7.55
8490,Luzein,Schafe,1202,1550,1.29
8338,Gossau (SG),Schafe,1196,18055,15.1
8374,Mels,Schafe,1195,8605,7.2
8382,Benken (SG),Schafe,1189,2916,2.45
8430,Valsot,Schafe,1188,876,0.74
7887,Glarus Nord,Schafe,1171,18057,15.42
8446,Maienfeld,Schafe,1168,2835,2.43
7895,Menzingen,Schafe,1166,4467,3.83
9109,Cuarny,Schafe,1119,238,0.21
9359,Val-d'Illiez,Schafe,1110,1902,1.71
8428,Samnaun,Schafe,1106,758,0.69
7825,Wassen,Schafe,1105,441,0.4
8065,Mümliswil-Ramiswil,Schafe,1102,2456,2.23
8506,Sumvitg,Schafe,1097,1216,1.11
9354,Collombey-Muraz,Schafe,1096,8863,8.09
9338,Gampel-Bratsch,Schafe,1087,1965,1.81
8499,Vals,Schafe,1062,984,0.93
9436,Milvignes,Schafe,1041,8986,8.63
9166,Saint-Livres,Schafe,1025,688,0.67
7897,Oberägeri,Schafe,1022,5994,5.86
7839,Galgenen,Schafe,1010,5199,5.15
8507,Tujetsch,Schafe,1010,1285,1.27
8408,Oberuzwil,Schafe,1003,6423,6.4
8483,Davos,Schafe,1002,11060,11.04
7845,Vorderthal,Schafe,984,1016,1.03
9277,Rossinière,Schafe,984,544,0.55
9322,Evolène,Schafe,984,1697,1.72
8394,Nesslau,Schafe,975,3611,3.7
7855,Oberiberg,Schafe,955,885,0.93
