,year,Rindvieh,Equideen,Schweine,Schafe,Ziegen,Hühner
0,1985,1848431.0,37354.0,1966973.0,271780.0,53386.0,6237006.0
1,1990,1858187.0,43807.0,1775810.0,354582.0,60764.0,6446165.0
2,1996,1747071.0,51485.0,1379359.0,418576.0,56846.0,6237066.0
3,1997,1672930.0,55211.0,1394913.0,420350.0,57966.0,6352359.0
4,1998,1640871.0,56237.0,1486955.0,422270.0,60106.0,6565971.0
5,1999,1608735.0,59800.0,1453250.0,423521.0,66007.0,6731089.0
6,2000,1588005.0,62155.0,1498223.0,420740.0,66972.0,6789720.0
7,2001,1611351.0,62581.0,1547711.0,419995.0,67693.0,6807885.0
8,2002,1593697.0,64445.0,1556717.0,429503.0,70810.0,7206221.0
9,2003,1570178.0,66777.0,1528933.0,444811.0,72531.0,7444591.0
10,2004,1544547.0,68547.0,1537505.0,440522.0,75892.0,7912624.0
11,2005,1554696.0,71084.0,1609497.0,446350.0,79499.0,8116604.0
12,2006,1566887.0,72855.0,1634801.0,450944.0,82019.0,7516946.0
13,2007,1571764.0,74881.0,1573090.0,443584.0,85103.0,8101840.0
14,2008,1604287.0,76777.0,1540129.0,446153.0,87602.0,8474239.0
15,2009,1597484.0,79345.0,1557204.0,431889.0,85313.0,8741117.0
16,2010,1591233.0,82520.0,1588998.0,434083.0,86987.0,8943676.0
17,2011,1577407.0,76212.0,1578687.0,424018.0,86215.0,9390871.0
18,2012,1564631.0,78171.0,1544017.0,417274.0,88089.0,9878279.0
19,2013,1557474.0,76889.0,1484732.0,409493.0,87935.0,10003437.0
20,2014,1562801.0,76818.0,1498321.0,402772.0,87817.0,10644412.0
21,2015,1554319.0,75118.0,1495737.0,347025.0,74269.0,10752686.0
22,2016,1555396.0,75864.0,1453602.0,338922.0,75351.0,10893422.0
23,2017,1544612.0,76209.0,1444591.0,342419.0,78146.0,11408804.0
