,Ortsname,Tiere 2017,Einwohner 2017,Totalanteil 2017
1377,Montagny (FR),263980,2404.0,0.01
651,Düdingen,121970,7825.0,0.06
182,Beromünster,121756,6517.0,0.05
1771,Ruswil,120002,6908.0,0.06
1808,Saillon,113856,2541.0,0.02
1943,Sins,92320,4302.0,0.05
900,Grosswangen,92251,3162.0,0.03
1296,Malters,85075,7108.0,0.08
396,Bösingen,80191,3412.0,0.04
675,Egnach,76055,4699.0,0.06
1468,Niederbüren,74284,1530.0,0.02
1099,Kirchberg (SG),73629,8977.0,0.12
938,Hauptwil-Gottshaus,72063,1920.0,0.03
1431,Mühleberg,69847,2843.0,0.04
1199,Le Mouret,69657,3156.0,0.05
308,Boswil,69600,2808.0,0.04
2069,Treyvaux,67298,1449.0,0.02
865,Gossau (SG),66811,18055.0,0.27
991,Hohenrain,66663,2531.0,0.04
1950,Siviriez,66193,2214.0,0.03
159,Belmont-Broye,66093,5402.0,0.08
1089,Kerzers,65640,4911.0,0.07
1977,St. Ursen,65006,1319.0,0.02
2151,Valbroye,63905,2962.0,0.05
2087,Tuggen,62270,3239.0,0.05
54,Amriswil,61711,13346.0,0.22
531,Courtepin,59633,5398.0,0.09
149,Beinwil (Freiamt),59137,1110.0,0.02
2014,Sumiswald,57890,5021.0,0.09
729,Estavayer,57380,9434.0,0.16
548,Cugy (FR),55595,1690.0,0.03
1086,Kemmental,54712,2465.0,0.05
407,Büren an der Aare,54649,3596.0,0.07
998,Homburg,53981,1537.0,0.03
878,Grandvillard,52544,812.0,0.02
787,Fraubrunnen,52393,4962.0,0.09
408,Bürglen (TG),52051,3751.0,0.07
1124,Köniz,51272,40938.0,0.8
52,Amlikon-Bissegg,51203,1311.0,0.03
381,Bussnang,51187,2268.0,0.04
1446,Neckertal,50497,4014.0,0.08
44,Alterswil,50265,2037.0,0.04
1866,Schlatt-Haslen,49743,1102.0,0.02
2327,Wittenbach,49449,9779.0,0.2
1387,Montilliez,49145,1694.0,0.03
1904,Schüpfen,48935,3719.0,0.08
162,Belp,48776,11534.0,0.24
544,Cuarnens,48626,481.0,0.01
1851,Schaffhausen,48557,36148.0,0.74
2044,Thayngen,47581,5422.0,0.11
385,Buttisholz,46765,3248.0,0.07
954,Heitenried,45682,1365.0,0.03
2146,Val-de-Ruz,45671,16832.0,0.37
627,Donneloye,44969,782.0,0.02
